,id,link,titulo,precio,direction,superficie_total,superficie_util,superficie_terraza,ambientes,dormitorios,banos,estacionamientos,cant_max_habitantes,bodegas,gastos_comunes,orientacion,tipo_departamento,cantidad_pisos,departamentos_piso,numero_piso_unidad,codigo,fecha,published_time,latitude,longitude,comuna,published,divisa,region
10,11,https://www.portalinmobiliario.com/mlc-1321526083-edificio-av-almte-blanco-encalada-vista-norte-piso-3-_jm#position=11&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio av. almte. blanco encalada- vista norte piso 3,470000.0,"av. almte. blanco encalada 2400 - 2700, barrio república, santiago",4599.0,42.0,344.0,3,2,1,1,3,1,80000.0,null,,9,16,3,459396,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.457825,-70.670456,Santiago,2023-02-10 17:56:38.667882,pesos,Rm (metropolitana)
11,12,https://www.portalinmobiliario.com/mlc-1321634064-edificio-huanuco-vista-nororiente-piso-2-_jm#position=12&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio huánuco- vista nororiente piso 2,475000.0,"huánuco 2100 - 2400, plaza chacabuco, independencia",5872.0,56.0,242.0,3,2,2,1,4,,90000.0,null,,13,15,2,457342,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,,,Independencia,2023-02-10 17:56:38.667887,pesos,Rm (metropolitana)
12,13,https://www.portalinmobiliario.com/mlc-1321698209-edificio-vicuna-mackenna-vista-norponiente-piso-13-_jm#position=13&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio vicuña mackenna- vista norponiente piso 13,450000.0,"vicuña mackenna 6300 - 6600, plaza vespucio, la florida",61.0,55.0,6.0,3,2,2,1,4,1,100000.0,null,,16,8,13,457717,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.51564,-70.607208,La florida,2023-02-10 17:56:38.667892,pesos,Rm (metropolitana)
13,14,https://www.portalinmobiliario.com/mlc-1321698220-edificio-lago-pirihueico-vista-poniente-piso-14-_jm#position=14&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio lago pirihueico- vista poniente piso 14,370000.0,"lago pirihueico 6300 - 6600, plaza vespucio, la florida",363.0,31.0,53.0,2,1,1,1,2,,60000.0,null,,26,10,14,458602,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.513954,-70.59256,La florida,2023-02-10 17:56:38.667897,pesos,Rm (metropolitana)
14,15,https://www.portalinmobiliario.com/mlc-1320645711-edificio-nicasio-retamales-vista-oriente-piso-14-_jm#position=15&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio nicasio retamales- vista oriente piso 14,405000.0,"nicasio retamales 1 - 300, universidad de santiago, estación central",0.0,39.0,0.0,0,0,0,,0,,80000.0,null,,0,0,0,96131,2023-02-11 00:00:00.000000,publicado hace 3 días por assetplan chile,-33.455524,-70.68869,Estación central,2023-02-09 17:56:38.667902,pesos,Rm (metropolitana)
15,16,https://www.portalinmobiliario.com/mlc-1320676520-edificio-cnel-souper-vista-sur-piso-12-_jm#position=16&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio cnel. souper- vista sur piso 12,330000.0,"cnel. souper 4500 - 4800, metro ecuador, estación central",3485.0,32.0,235.0,2,1,1,,2,,45000.0,null,,20,16,12,451666,2023-02-11 00:00:00.000000,publicado hace 3 días por assetplan chile,,,Estación central,2023-02-09 17:56:38.667907,pesos,Rm (metropolitana)
16,17,https://www.portalinmobiliario.com/mlc-1321520296-edificio-lira-vista-sur-piso-3-_jm#position=17&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio lira- vista sur piso 3,350000.0,"lira 1 - 300, santa isabel, santiago",38.0,36.0,2.0,2,1,1,,2,,45000.0,null,,9,16,3,439179,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.445843,-70.640343,Santiago,2023-02-10 17:56:38.667912,pesos,Rm (metropolitana)
17,18,https://www.portalinmobiliario.com/mlc-1320562644-edificio-nicasio-retamales-vista-oriente-piso-8-_jm#position=18&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio nicasio retamales- vista oriente piso 8,415000.0,"nicasio retamales 1 - 300, san alberto hurtado, estación central",0.0,45.0,0.0,0,0,0,,0,,95000.0,null,,0,0,0,447347,2023-02-11 00:00:00.000000,publicado hace 3 días por assetplan chile,-33.452358,-70.692116,Estación central,2023-02-09 17:56:38.667917,pesos,Rm (metropolitana)
18,19,https://www.portalinmobiliario.com/mlc-1321891370-edificio-radal-vista-oriente-piso-9-_jm#position=19&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio radal- vista oriente piso 9,340000.0,"radal 1200 - 1500, blanqueado, quinta normal",436.0,36.0,67.0,3,2,1,,3,,45000.0,null,,15,20,9,459884,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.438248,-70.703499,Quinta normal,2023-02-10 17:56:38.667922,pesos,Rm (metropolitana)
19,20,https://www.portalinmobiliario.com/mlc-1321788472-edificio-nicasio-retamales-vista-oriente-piso-15-_jm#position=20&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio nicasio retamales- vista oriente piso 15,350000.0,"nicasio retamales 1 - 300, universidad de santiago, estación central",4337.0,40.0,312.0,3,2,1,1,3,1,75000.0,null,,25,13,15,459765,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.455524,-70.68869,Estación central,2023-02-10 17:56:38.667927,pesos,Rm (metropolitana)
20,21,https://www.portalinmobiliario.com/mlc-1320669991-edificio-nicasio-retamales-vista-norte-piso-14-_jm#position=21&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio nicasio retamales- vista norte piso 14,420000.0,"nicasio retamales 1 - 300, san alberto hurtado, estación central",499.0,46.0,308.0,3,2,2,1,4,,100000.0,null,,28,12,14,106872,2023-02-11 00:00:00.000000,publicado hace 3 días por assetplan chile,-33.452358,-70.692116,Estación central,2023-02-09 17:56:38.667932,pesos,Rm (metropolitana)
21,22,https://www.portalinmobiliario.com/mlc-1321788783-edificio-maestra-lidia-torres-vista-poniente-piso-2-_jm#position=22&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio maestra lidia torres- vista poniente piso 2,558000.0,"maestra lidia torres 1 - 300, cerro blanco, recoleta",7094.0,59.0,113.0,3,2,2,1,4,1,75000.0,null,,16,9,2,446958,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.424133,-70.639702,Recoleta,2023-02-10 17:56:38.667937,pesos,Rm (metropolitana)
22,23,https://www.portalinmobiliario.com/mlc-1321633964-edificio-maestra-lidia-torres-vista-poniente-piso-16-_jm#position=23&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio maestra lidia torres- vista poniente piso 16,390000.0,"maestra lidia torres 1 - 300, cerro blanco, recoleta",36.0,32.0,4.0,2,1,1,,2,1,40000.0,null,,16,9,16,451652,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.424133,-70.639702,Recoleta,2023-02-10 17:56:38.667942,pesos,Rm (metropolitana)
23,24,https://www.portalinmobiliario.com/mlc-1318687385-edificio-amengual-vista-oriente-piso-14-_jm#position=24&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio amengual- vista oriente piso 14,410000.0,"gral amengual 1 - 300, san alberto hurtado, estación central",4874.0,47.0,147.0,3,2,2,,4,,78000.0,null,,20,14,14,225570,2023-02-11 00:00:00.000000,publicado hace 4 días por assetplan chile,-33.457169,-70.696709,Estación central,2023-02-08 17:56:38.667947,pesos,Rm (metropolitana)
24,25,https://www.portalinmobiliario.com/mlc-1320645714-edificio-nicasio-retamales-vista-norte-piso-6-_jm#position=25&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio nicasio retamales- vista norte piso 6,400000.0,"nicasio retamales 1 - 300, universidad de santiago, estación central",5011.0,47.0,26.0,3,2,2,,4,,65000.0,null,,25,13,6,97610,2023-02-11 00:00:00.000000,publicado hace 3 días por assetplan chile,-33.455524,-70.68869,Estación central,2023-02-09 17:56:38.667953,pesos,Rm (metropolitana)
25,26,https://www.portalinmobiliario.com/mlc-1318625203-edificio-matucana-vista-sur-piso-9-_jm#position=26&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio matucana- vista sur piso 9,435000.0,"matucana 1 - 300, barrio yungay, santiago",4892.0,45.0,301.0,3,2,2,,4,,75000.0,null,,10,15,9,442033,2023-02-11 00:00:00.000000,publicado hace 4 días por assetplan chile,-33.447788,-70.679062,Santiago,2023-02-08 17:56:38.667958,pesos,Rm (metropolitana)
26,27,https://www.portalinmobiliario.com/mlc-1321564384-edificio-huanuco-vista-oriente-piso-9-_jm#position=27&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio huánuco- vista oriente piso 9,420000.0,"huánuco 2100 - 2400, plaza chacabuco, independencia",0.0,46.0,0.0,0,0,0,,0,,60000.0,null,,0,0,0,457357,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.404594,-70.660248,Independencia,2023-02-10 17:56:38.667963,pesos,Rm (metropolitana)
27,28,https://www.portalinmobiliario.com/mlc-1321634012-edificio-chacabuco-vista-oriente-piso-11-_jm#position=28&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio chacabuco- vista oriente piso 11,300000.0,"chacabuco 900 - 1200, parque los reyes, santiago",39.0,36.0,3.0,2,1,1,,2,,60000.0,null,,26,15,11,456524,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.432533,-70.679649,Santiago,2023-02-10 17:56:38.667968,pesos,Rm (metropolitana)
28,29,https://www.portalinmobiliario.com/mlc-1321698108-edificio-novena-avenida-vista-suroriente-piso-5-_jm#position=29&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio novena avenida- vista suroriente piso 5,320000.0,"novena avenida 1200 - 1500, ciudad del niño, san miguel",0.0,35.0,0.0,0,0,0,,0,,60000.0,null,,0,0,0,457680,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.511822,-70.661858,San miguel,2023-02-10 17:56:38.667973,pesos,Rm (metropolitana)
29,30,https://www.portalinmobiliario.com/mlc-1320663692-edificio-apostol-santiago-vista-sur-piso-11-_jm#position=30&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio apóstol santiago- vista sur piso 11,370000.0,"apóstol santiago 1 - 300, san alberto hurtado, estación central",3669.0,34.0,26.0,2,1,1,1,2,1,65000.0,null,,26,17,11,445989,2023-02-11 00:00:00.000000,publicado hace 3 días por assetplan chile,-33.451164,-70.692886,Estación central,2023-02-09 17:56:38.667978,pesos,Rm (metropolitana)
30,31,https://www.portalinmobiliario.com/mlc-1321525927-edificio-rivera-vista-sur-piso-15-_jm#position=31&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio rivera- vista sur piso 15,300000.0,"rivera 1200 - 1500, hospitales, independencia",35.0,31.0,4.0,2,1,1,,2,1,45000.0,null,,23,16,15,325935,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.425777,-70.656105,Independencia,2023-02-10 17:56:38.667983,pesos,Rm (metropolitana)
31,32,https://www.portalinmobiliario.com/mlc-1321507116-edificio-carrion-vista-poniente-piso-20-_jm#position=32&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio carrión- vista poniente piso 20,430000.0,"carrión 1500 - 1800, hospitales, independencia",4873.0,41.0,753.0,3,2,1,1,3,,80000.0,null,,24,15,20,455491,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.419086,-70.659668,Independencia,2023-02-10 17:56:38.667988,pesos,Rm (metropolitana)
32,33,https://www.portalinmobiliario.com/mlc-1320670010-edificio-apostol-santiago-vista-poniente-piso-22-_jm#position=33&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio apóstol santiago- vista poniente piso 22,430000.0,"apóstol santiago 1 - 300, san alberto hurtado, estación central",4508.0,42.0,299.0,3,2,2,1,4,1,70000.0,null,,26,17,22,444642,2023-02-11 00:00:00.000000,publicado hace 3 días por assetplan chile,-33.451164,-70.692886,Estación central,2023-02-09 17:56:38.667993,pesos,Rm (metropolitana)
33,34,https://www.portalinmobiliario.com/mlc-1321698057-edificio-cnel-souper-vista-sur-piso-6-_jm#position=34&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio cnel. souper- vista sur piso 6,280000.0,"cnel. souper 3900 - 4200, san alberto hurtado, estación central",36.0,34.0,2.0,2,1,1,,2,,30000.0,null,,15,15,6,449044,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.45705,-70.692093,Estación central,2023-02-10 17:56:38.667998,pesos,Rm (metropolitana)
34,35,https://www.portalinmobiliario.com/mlc-1321507489-edificio-nicasio-retamales-vista-nororiente-piso-25-_jm#position=35&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio nicasio retamales- vista nororiente piso 25,385000.0,"nicasio retamales 1 - 300, universidad de santiago, estación central",4532.0,39.0,534.0,3,2,1,1,3,,60000.0,null,,25,13,25,95536,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.455524,-70.68869,Estación central,2023-02-10 17:56:38.668003,pesos,Rm (metropolitana)
35,36,https://www.portalinmobiliario.com/mlc-1318068272-edificio-conde-del-maule-vista-surponiente-piso-16-_jm#position=36&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio conde del maule- vista surponiente piso 16,390000.0,"conde del maule 4500 - 4800, metro ecuador, estación central",54.0,51.0,3.0,3,2,2,1,4,,75000.0,null,,16,9,16,325923,2023-02-11 00:00:00.000000,publicado hace 4 días por assetplan chile,-33.45509,-70.700851,Estación central,2023-02-08 17:56:38.668008,pesos,Rm (metropolitana)
36,37,https://www.portalinmobiliario.com/mlc-1316684477-edificio-vida-central-vista-poniente-piso-8-_jm#position=37&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio vida central- vista poniente piso 8,268000.0,"coronel souper 4200 - 4500, san alberto hurtado, estación central",0.0,26.0,0.0,0,0,0,,0,,50000.0,null,,0,0,0,112081,2023-02-11 00:00:00.000000,publicado hace 5 días por assetplan chile,-33.457581,-70.692734,Estación central,2023-02-07 17:56:38.668014,pesos,Rm (metropolitana)
37,38,https://www.portalinmobiliario.com/mlc-1321788785-edificio-maestra-lidia-torres-vista-oriente-piso-12-_jm#position=38&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio maestra lidia torres- vista oriente piso 12,588000.0,"maestra lidia torres 1 - 300, cerro blanco, recoleta",6304.0,58.0,435.0,3,2,2,1,4,1,70000.0,null,,16,9,12,446968,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.424133,-70.639702,Recoleta,2023-02-10 17:56:38.668019,pesos,Rm (metropolitana)
38,39,https://www.portalinmobiliario.com/mlc-1321794851-edificio-lago-pirihueico-vista-oriente-piso-13-_jm#position=39&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio lago pirihueico- vista oriente piso 13,450000.0,"lago pirihueico 6300 - 6600, plaza vespucio, la florida",465.0,39.0,71.0,3,2,1,1,3,1,55000.0,null,,26,10,13,445410,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.513927,-70.592705,La florida,2023-02-10 17:56:38.668024,pesos,Rm (metropolitana)
39,40,https://www.portalinmobiliario.com/mlc-1321564234-edificio-porto-seguro-vista-poniente-piso-15-_jm#position=40&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio porto seguro- vista poniente piso 15,400000.0,"porto seguro 4200 - 4500, quinta normal",4432.0,42.0,232.0,3,2,2,1,4,1,65000.0,null,,24,13,15,459903,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.447945,-70.692482,Quinta normal,2023-02-10 17:56:38.668029,pesos,Rm (metropolitana)
40,41,https://www.portalinmobiliario.com/mlc-1321633911-edificio-apostol-santiago-vista-poniente-piso-12-_jm#position=41&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio apóstol santiago- vista poniente piso 12,395000.0,"apóstol santiago 1 - 300, san alberto hurtado, estación central",4508.0,42.0,299.0,3,2,2,1,4,1,70000.0,null,,26,17,12,442837,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.451164,-70.692886,Estación central,2023-02-10 17:56:38.668034,pesos,Rm (metropolitana)
41,42,https://www.portalinmobiliario.com/mlc-1317853565-edificio-amengual-vista-oriente-piso-4-_jm#position=42&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio amengual- vista oriente piso 4,418500.0,"gral amengual 1 - 300, san alberto hurtado, estación central",0.0,47.0,0.0,0,0,0,,0,,78000.0,null,,0,0,0,225430,2023-02-11 00:00:00.000000,publicado hace 4 días por assetplan chile,-33.457169,-70.696709,Estación central,2023-02-08 17:56:38.668039,pesos,Rm (metropolitana)
42,43,https://www.portalinmobiliario.com/mlc-1321897720-edificio-av-almte-blanco-encalada-vista-poniente-piso-1-_jm#position=43&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio av. almte. blanco encalada- vista poniente piso 1,370000.0,"av. almte. blanco encalada 2400 - 2700, barrio república, santiago",402.0,37.0,266.0,2,1,1,,2,,45000.0,null,,9,16,1,447309,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.457825,-70.670456,Santiago,2023-02-10 17:56:38.668044,pesos,Rm (metropolitana)
43,44,https://www.portalinmobiliario.com/mlc-1320657432-edificio-conde-del-maule-vista-oriente-piso-20-_jm#position=44&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio conde del maule- vista oriente piso 20,425000.0,"conde del maule 3900 - 4200, san alberto hurtado, estación central",51.0,47.0,349.0,3,2,2,1,4,1,95000.0,null,,30,13,20,437421,2023-02-11 00:00:00.000000,publicado hace 3 días por assetplan chile,-33.453098,-70.692764,Estación central,2023-02-09 17:56:38.668048,pesos,Rm (metropolitana)
44,45,https://www.portalinmobiliario.com/mlc-1321526046-edificio-gaspar-de-orense-vista-sur-piso-10-_jm#position=45&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio gaspar de orense- vista sur piso 10,290000.0,"gaspar de orense 600 - 900, blanqueado, quinta normal",347.0,32.0,25.0,2,1,1,,2,,50000.0,null,,13,14,10,435779,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.443447,-70.700249,Quinta normal,2023-02-10 17:56:38.668054,pesos,Rm (metropolitana)
45,46,https://www.portalinmobiliario.com/mlc-1320645707-edificio-gamero-piso-14-_jm#position=46&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio gamero- piso 14,310000.0,"gamero 1500 - 1800, hospitales, independencia",30.0,30.0,0.0,2,1,1,,2,,55000.0,null,,25,28,14,92549,2023-02-11 00:00:00.000000,publicado hace 3 días por assetplan chile,-33.420662,-70.661064,Independencia,2023-02-09 17:56:38.668058,pesos,Rm (metropolitana)
46,47,https://www.portalinmobiliario.com/mlc-1321788715-edificio-apostol-santiago-vista-oriente-piso-15-_jm#position=47&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio apóstol santiago- vista oriente piso 15,470000.0,"apóstol santiago 1 - 300, san alberto hurtado, estación central",0.0,48.0,0.0,0,0,0,,0,,85000.0,null,,0,0,0,445821,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.451164,-70.692886,Estación central,2023-02-10 17:56:38.668063,pesos,Rm (metropolitana)
47,48,https://www.portalinmobiliario.com/mlc-1318631425-edificio-vida-central-vista-poniente-piso-13-_jm#position=48&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio vida central- vista poniente piso 13,405000.0,"coronel souper 4200 - 4500, san alberto hurtado, estación central",4824.0,45.0,294.0,3,2,2,,4,,76000.0,null,,30,11,13,112135,2023-02-11 00:00:00.000000,publicado hace 4 días por assetplan chile,-33.457581,-70.692734,Estación central,2023-02-08 17:56:38.668069,pesos,Rm (metropolitana)
48,49,https://www.portalinmobiliario.com/mlc-1322294269-edificio-blanco-garces-vista-poniente-piso-21-_jm#position=49&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio blanco garcés- vista poniente piso 21,220000.0,"blanco garcés 1 - 300, san alberto hurtado, estación central",22.0,22.0,0.0,1,0,1,,2,,20000.0,null,,37,14,21,458851,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.450378,-70.697701,Estación central,2023-02-10 17:56:38.668073,pesos,Rm (metropolitana)
